Year,CollegeCode,CollegeName,Branch,Category,Gender,CutoffRank
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,OC,M,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,OC,F,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,SC,M,127070
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,SC,F,127070
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,ST,M,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,ST,F,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-A,M,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-A,F,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-B,M,124890
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-B,F,124890
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-C,M,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-C,F,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-D,M,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-D,F,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-E,M,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-E,F,115666
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC,M,72029
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC,F,72029
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,SC,M,127398
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,SC,F,127398
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,ST,M,93241
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,ST,F,93241
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-A,M,104817
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-A,F,104817
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-B,M,121643
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-B,F,122813
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-C,M,72029
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-C,F,107708
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-D,M,85152
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-D,F,100196
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-E,M,112723
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-E,F,112723
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC_EWS,M,73056
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC_EWS,F,69209
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC,M,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC,F,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,SC,M,122065
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,SC,F,122065
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,ST,M,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,ST,F,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-A,M,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-A,F,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-B,M,116843
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-B,F,116843
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-C,M,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-C,F,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-D,M,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-D,F,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-E,M,113107
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-E,F,123050
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC_EWS,M,122804
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,ST,M,90467
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,ST,F,90467
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-A,M,106850
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-A,F,106850
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-B,M,108355
2020,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BC-B,F,108355
2020,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,OC,F,93276
2020,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,SC,M,124589
2020,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,SC,F,124589
2020,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,ST,M,122580
2020,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,ST,F,122580
2020,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-A,M,122902
2020,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-A,F,122902
2020,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-B,M,121348
2020,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-B,F,121348
2020,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-C,F,93276
