Year,CollegeCode,CollegeName,Branch,Category,Gender,CutoffRank
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,OC,Male,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,OC,Female,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,SC,Male,175237
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,SC,Female,175237
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,ST,Male,168197
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,ST,Female,168197
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BCA,Male,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BCA,Female,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BCB,Male,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BCB,Female,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BCC,Male,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BCC,Female,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BCD,Male,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BCD,Female,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BCE,Male,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BCE,Female,146103
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC,Male,128861
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC,Female,128861
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,SC,Male,176504
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,SC,Female,177370
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,ST,Male,157250
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,ST,Female,157250
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BCA,Male,161249
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BCA,Female,172486
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BCB,Male,163789
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BCB,Female,163789
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BCC,Male,128861
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BCC,Female,128861
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BCD,Male,176374
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BCD,Female,177195
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BCE,Male,167062
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BCE,Female,167062
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC_EWS,Male,173286
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC_EWS,Female,136779
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC,Male,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC,Female,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,SC,Male,174884
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,SC,Female,177676
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,ST,Male,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,ST,Female,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BCA,Male,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BCA,Female,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BCB,Male,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BCB,Female,169552
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BCC,Male,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BCC,Female,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BCD,Male,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BCD,Female,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BCE,Male,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BCE,Female,161894
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC_EWS,Male,113560
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC_EWS,Female,118267
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,OC,Female,150417
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,SC,Male,164975
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,SC,Female,164975
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,ST,Female,150417
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BCA,Female,150417
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BCB,Female,150417
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BCC,Female,150417
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BCD,Female,150417
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BCE,Female,150417
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,OC,Male,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,OC,Female,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,SC,Male,154902
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,SC,Female,154902
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,ST,Male,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,ST,Female,157155
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BCA,Male,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BCA,Female,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BCB,Male,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BCB,Female,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BCC,Male,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BCC,Female,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BCD,Male,156064
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BCD,Female,156064
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BCE,Male,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,BCE,Female,152545
2024,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,OC_EWS,Male,166550
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,OC,Male,71458
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,OC,Female,71458
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,SC,Male,165515
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,SC,Female,175777
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,ST,Male,108103
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,ST,Female,121894
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,BCA,Male,121512
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,BCA,Female,175154
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,BCB,Male,103308
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,BCB,Female,173293
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,BCC,Male,71458
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,BCC,Female,121793
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,BCD,Male,96634
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,BCD,Female,96634
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,BCE,Male,71458
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,BCE,Female,71458
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,OC_EWS,Male,81009
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,OC_EWS,Female,81067
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,OC,Male,38871
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,OC,Female,38871
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,SC,Male,140467
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,SC,Female,160622
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,ST,Male,151805
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,ST,Female,156024
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,BCA,Male,71005
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,BCA,Female,71005
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,BCB,Male,64627
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,BCB,Female,66698
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,BCC,Male,38871
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,BCC,Female,38871
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,BCD,Male,49803
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,BCD,Female,56411
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,BCE,Male,150056
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,BCE,Female,150056
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,OC_EWS,Male,38653
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,OC_EWS,Female,41848
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,OC,Male,25298
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,OC,Female,25298
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,SC,Male,96256
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,SC,Female,134974
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,ST,Male,162100
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,ST,Female,162100
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,BCA,Male,52238
2024,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,BCA,Female,52238
