Year,CollegeCode,CollegeName,Branch,Category,Gender,CutoffRank
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,OC,Male,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,OC,Female,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,SC,Male,170697
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,SC,Female,170697
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,ST,Female,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-A,Male,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-A,Female,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-B,Male,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-B,Female,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-D,Male,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-D,Female,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-E,Male,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-E,Female,143031
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,EWS,Male,158522
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC,Male,132938
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC,Female,132938
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,SC,Male,170635
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,SC,Female,170635
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,ST,Female,173467
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-A,Male,153425
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-A,Female,167840
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-B,Male,167292
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-B,Female,169169
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-D,Male,134908
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-D,Female,157283
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-E,Male,144114
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-E,Female,144114
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,EWS,Male,149718
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC,Male,114459
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC,Female,114459
2022,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,SC,Male,114459
