Year,CollegeCode,CollegeName,Branch,Category,Gender,CutoffRank
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",ECE,BC-A,M,130110
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",ECE,BC-A,F,130110
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",ECE,BC-B,M,130150
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",ECE,BC-B,F,130159
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",ECE,BC-D,M,130146
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",ECE,BC-D,F,130146
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",ECE,BC-E,M,130056
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",ECE,BC-E,F,130085
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,OC,M,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,OC,F,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,SC,M,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,SC,F,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,ST,M,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,ST,F,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,BC-A,M,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,BC-A,F,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,BC-B,M,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,BC-B,F,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,BC-C,M,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,BC-C,F,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,BC-D,M,102686
