Year,CollegeCode,CollegeName,Branch,Category,Gender,CutoffRank
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,OC,Male,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,OC,Female,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,SC,Male,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,SC,Female,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,ST,Male,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,ST,Female,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-A,Male,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-A,Female,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-B,Male,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-B,Female,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-D,Male,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-D,Female,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-E,Male,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-E,Female,148874
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC,Male,98862
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC,Female,144081
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,SC,Male,145979
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,SC,Female,149993
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,ST,Male,134391
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,ST,Female,144081
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-A,Male,151012
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-A,Female,151012
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-B,Male,137742
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-B,Female,144081
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-D,Male,146500
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-D,Female,146500
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-E,Male,143907
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-E,Female,144792
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,EWS,Male,115984
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,EWS,Female,134669
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC,Male,110962
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC,Female,113113
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,SC,Male,138435
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,SC,Female,138435
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,ST,Male,127433
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,ST,Female,127433
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-A,Male,110962
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-A,Female,113113
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-B,Male,110962
2023,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-B,Female,113113
